PaperID,Year,Journal,Location,Measurements,OldVsNew,UsedOrNot,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Link
Ares+Neill+etal-2010,2010,Forest Ecology and Management,"Keel Mountain, O.M. Hubbard, and Bottom-line sites in the western Oregon Cascades and Coast Range, Oregon","Percent Cover, Species Richness",New,No,44.528056,-122.631944,43.291667,-123.583333,43.772222,-123.236389,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Burton+Hallgren+etal-2011,2011,Plant Ecology,"Okmulgee Game Management Area, Oklahoma","Percent Cover, Species Richness",New,No,35.644471,-96.045201,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Busse+Simon+etal-2000,2000,Forest Science,"Fremont National Forest, Oregon","Percent Cover, Species Richness",Old,No,42.9375,-121.3125,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Collins+Moghaddas+etal-2007,2007,Forest Ecology & Management,"Blodgett Forest Research Station, California","Percent Cover, Species Richness",Old,Yes,38.8862914,-120.6477055,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Dodson+Fiedler-2006,2006,Journal of Applied Ecology,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Yes,46.8915987,-113.434247,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Dodson+Metlen+etal-2007,2007,Restoration Ecology,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Yes,46.8915987,-113.434247,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Dodson+Peterson+etal-2008,2008,Forest Ecology & Management,"Okanogan-Wenatchee National Forest, Washington","Percent Cover, Species Richness",Old,No,49.7478,-119.7172,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Dodson+Peterson-2010,2010,Forest Ecology & Management,"Okanogan-Wenatchee National Forest, Washington",Percent Cover,Old,No,49.7478,-119.7172,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Dodson-2004,2004,Dissertation at University of Montana,"Lubrecht Experimental Forest, Montana",Percent Cover,New,Yes,46.8915987,-113.434247,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Fornwalt+Kaufmann+etal-2010,2010,Biological Invasions,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,Yes,39.1833,-105.3167,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Fornwalt+Kaufmann-2014,2014,Journal of Vegetation Science,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,No,39.1833,-105.3167,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Freeman+Stohlgren+etal-2007,2007,Ecological Applications,"Coronado NF, Arizona; Deschutes NF, Oregon; Bandelier NM, New Mexico; Pike, San Isabel NF, Colorado; Wenatchee NF, Washington; El Dorado NF, California","Percent Cover, Species Richness",New,Yes,31.9964,-110.3089,44,-121.5,35.7789,-106.3211,39.1833,-105.3167,38.0439,-105.1088,48.4,-121,38.7501848,-120.3343612,https://www.dropbox.com/home/UnderstoryMetaPdfs
Fule+Covington+etal-2002,2002,Forest Ecology & Management,"Kaibab National Forest, Arizona",Species Richness,Old,Yes,35.243203,-112.189904,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Fule+Laughlin+etal-2005,2005,Forest Ecology and Management,"Kaibab National Forest, Arizona","Percent Cover, Species Richness",New,Yes,35.243203,-112.189904,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Griffis+Crawford+etal-2001,2001,Forest Ecology & Management,"Coconino National Forest, Arizona",Species Richness,Old,No,34.924903,-111.735873,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Harrington+Edwards-1999,1999,Canadian Journal of Forestry,"Savannah River Site, South Carolina","Percent Cover, Species Richness",Old,No,34.578895,-80.209983,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Harrod+Halpern-2009,2008,Northwest Science,"Okanogan-Wenatchee National Forest, Washington",Percent Cover,Old,No,47.847693,-120.707755,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Huffman+Stoddard+etal-2013,2013,Forest Ecology and Management,"Kaibab NF, Arizona","Percent Cover, Species Richness",New,Yes,35.243203,-112.189904,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Huisinga+Laughlin-2005,2005,The Journal of the Torrey Botanical Society,Grand Canyon National Park,"Percent Cover, Species Richness",New,No,36.106904,-112.113136,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Kane+Morgan+etal-2010,2010,Applied Vegetation Science,"Challenge Experimental Forest, California","Percent Cover, Species Richness",Old,Yes,39.29,-121.13,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Kerns+Buonopane+etal-2011,2011,Ecosphere,"Malheur National Forest, Oregon (Blue Mountains)",Percent Cover,New,No,44.104437,-118.655754,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Kerns+Thies+etal-2006,2006,Ecoscience,"Malheur NF, Oregon","Percent Cover, Species Richness",New,Yes,44.104437,-118.655754,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Knapp+Schwilk+etal-2006,2006,Canadian Journal of Forest Research,Sequoia National Park,"Percent Cover, Species Richness",New,No,36.433454,-118.684647,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Laughlin+Bakker+etal-2008,2008,Plant Ecology,"Coconino National Forest, Arizona",Species Richness,Old,Yes,34.924903,-111.735873,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Laughlin+Fule-2008,2008,Canadian Journal of Forest Research,Grand Canyon National Park,"Percent Cover, Species Richness",Old,No,36.106904,-112.113136,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Mason+Baker+etal-2009,2009,Forest Ecology & Management,"Lincoln National Forest, New Mexico",Percent Cover,Old,Yes,32.886383,-105.688351,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Metlen+Fiedler+etal-2004,2004,Northwest Science,"Hungry Bob Study Area, Oregon",Percent Cover,Old,No,45.727378,-117.273496,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Metlen+Fiedler-2006,2006,Forest Ecology & Management,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Yes,46.8915987,-113.434247,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
