Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen and Fiedler 2006,10.88333334,2.357022604,3,11.91666667,0.989949494,3,9.15,1.932758535,3,,,,,
Collins et al. 2007,3.15,0.636396103,3,5.25,1.909188309,3,3,0.586898629,3,,,,,
Nelson et al. 2008,11.5,5.385165,30,11,6.244998,40,10,5.567764,32,-0.0848,-0.2737,0.1679,,
Zenner et al. 2006,0.625,19.29704757,94,1.796875,10.3310684,36,,,,,,,,
Waldrop et al. 2008.Green.River,2.1125,1.256278092,3,1.2175,1.124581698,3,1.59,1.024114357,7.5,,,,,
Waldrop et al.2008.Ohio.Hills,5.12,3.964548127,3,3.505,0.910808441,3,6.23,4.028187737,7.5,,,,,
Scudieri et al. 2010.Chimney,8.25,0.703553391,3,,,,6,0.603553391,3,,,,,
Scudieri et al. 2010.Limestone,3.5,0.707106781,3,,,,4.25,0.919238816,3,,,,,
Mason et al. 2009.Bailey,0.2,0.565685425,3,0.8,0.565685425,3,,,,0.7071,,,,
Mason et al. 2009.Cox,4.5,2.49844396,3,5.633333333,2.545584412,3,,,,0.448,,,,
Mason et al. 2009.Sleepy,1.4,0.848528137,3,2,0.848528137,3,,,,0.7071,,,,
Zald et al. 2008,4.5,2.2627417,3,4.2,1.909188309,3,6.55,2.687005769,3,-0.2027,1.1671,-0.4299,,
Kerns,2.694560669,2.488678167,6,,,,2.753138075,3.012610414,6,,0.0212,,,
Huffman,0.6,0.331662479,12,0.4,0.331662479,12,0.4,0.331662479,12,0.603,0.603,0,,
Provencher and Thomspon 2014,9,12.30365799,3,11,6.222539674,3,,,,,,,,
