Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n
Metlen+Fiedler-2006,52.6,2.922709029,3,59.93333333,5.751135154,3,50.96666667,7.589612785,3
Dodson+Metlen+etal-2007,32,0.622253967,3,31.1,1.258650071,3,33.8,1.258650071,3
Collins+Moghaddas+etal-2007,6.1,0.565685425,3,8.3,0.848528137,3,5.9,0.565685425,3
Youngblood+Metlen+etal-2006,30,5.196152423,4,26,5.196152423,4,29,1.732050808,4
Wienk+Sieg+etal-2004,2.7,0.989949494,3,8,2.828427125,3,8.3,4.242640687,3
Wolk+Rocca-2009,53,5.142956348,6,47.4,5.542562584,13,,,
Phillips+Waldrop-2008,30.05,2.757716447,3,33.75,2.121320344,3,35.15,1.909188309,3
Laughlin+Bakker+etal-2008,3.6392045,4.096590909,5,4.772727273,2.625,5,,,
Mason+Baker+etal-2009-Bailey,8.75,3.535533906,3,12.5,3.535533906,3,,,
Mason+Baker+etal-2009-Cox,23.54166667,3.535533906,3,23.125,3.535533906,3,,,
Mason+Baker+etal-2009-Sleepy,16.875,1.767766953,3,17.5,2.651650429,3,,,
Kane+Morgan+etal-2010,4.3,2.598076211,4,7.4,0.692820323,4,,,
Nelson+Halpern+etal-2008,17.435,4.485842284,30,18.954,3.053804021,40,18.606,4.838387231,32
Freeman+Stohlgren+etal-2007,1.153846154,4.665330227,475,,,,2.472527473,2.870972447,475
Zhang+Webster+etal-2008,30.73170732,4.246897597,12,23.47560976,2.831265065,12,23.90243902,2.831265065,12
Zenner+Kabrick+etal-2006,-2.542372881,12.25887809,94,6.355932203,10.02725387,36,,,
Huffman+Stoddard+etal-2013,26.7,4.643274706,12,25.6,3.979949748,12,25.3,4.643274706,12
Shive+Sieg+etal-2013,2.3,0.244948974,7,6.2,2.449489743,7,,,
Scudieri+Sieg+etal-2010-Chimney,340,35.35533906,3,,,,290,42.42640687,3
Scudieri+Sieg+etal-2010-Limestone,400,42.42640687,3,,,,350,70.71067812,3
Phillips+Hutchinson-2007-OhioHills,7.9,0.282842712,3,9,0.282842712,3,11.6,0.282842712,3
Phillips+Hutchinson-2007-SouthernAppalachian,3.5,0.282842712,3,4.3,0.282842712,3,5.7,0.424264069,3
Fule+Laughlin+etal-2005,26.1,2.4,5,,,,20.5,2,5
Knapp+Schwilk+etal-2006,0,0,3,,,,-0.03,0.268700577,3
Fornwalt+Kaufmann+etal-2014-Upland,40,15.65247584,6,,,,52,24.59674775,6
