"contrast","zval","ci.lb","ci.ub","var"
"burn-control",1.83173741196135,0.0515790643894162,0.959523123112424,"exotic-cover"
"thin-control",1.96169117893489,0.0795546435298223,0.905566226637309,"exotic-cover"
"burn-thin",-1.7944024315169,-1.01583453144772,-0.0441714246429041,"exotic-cover"
"burn-control",2.50477623774194,0.357442993625455,1.72487163689084,"exotic-richness"
"thin-control",5.95944555462115,0.989032771986686,1.74313149995367,"exotic-richness"
"burn-thin",0.0353640562057887,-1.0612288538289,1.10786395792171,"exotic-richness"
"burn-control",-1.38854856368226,-0.687695784072385,0.0581063440881263,"f-cover"
"thin-control",0.0122679310106964,-0.244803870095494,0.248482987212532,"f-cover"
"burn-thin",-0.140847217165742,-0.912760191382459,0.768772206699118,"f-cover"
"burn-control",-0.599014632156122,-0.695501284482072,0.324164469678309,"f-richness"
"thin-control",0.300889325718775,-1.49773951619777,2.16837315240041,"f-richness"
"burn-thin",0.120448409882413,-0.684559080662599,0.792737735278999,"f-richness"
"burn-control",0.439632558231208,-0.534457723469858,0.92436961985742,"g-cover"
"thin-control",0.301545012161933,-0.192185216821753,0.278468432615674,"g-cover"
"burn-thin",-0.726907573292791,-0.490936821676495,0.190007964548565,"g-cover"
"burn-control",-0.778841953401948,-0.774252190191216,0.276648371359866,"native-cover"
"thin-control",1.94561421010681,0.0888383167648628,1.06054827961912,"native-cover"
"burn-thin",-2.1854156558316,-2.54135022558816,-0.358658186309222,"native-cover"
"burn-control",0.906378273032584,-0.237150062715218,0.819289095934726,"native-richness"
"thin-control",1.90403514626534,0.105884468574743,1.44984180499336,"native-richness"
"burn-thin",-0.641432089587552,-1.22182628312944,0.536243916733784,"native-richness"
"burn-control",-2.14112643375591,-1.05177734723942,-0.137868791667725,"s-cover"
"thin-control",1.30969187873312,-0.559952848395356,4.9361425652427,"s-cover"
"burn-thin",-1.6681024598359,-6.90711221168137,-0.0484710009178162,"s-cover"
"burn-control",-1.11631978638366,-1.37284688745827,0.262785392049487,"s-richness"
"thin-control",0.988732032802172,-2.16449153718254,8.68798394049646,"s-richness"
"burn-thin",-1.14602482547186,-10.9282964970697,1.95327354335823,"s-richness"
"burn-control",-1.6754538598872,-0.639887004262406,-0.00589725242634548,"total-cover"
"thin-control",0.266061053211414,-0.36800503086115,0.510030463783847,"total-cover"
"burn-thin",-1.15784439565857,-1.23439279489255,0.214493563453646,"total-cover"
"burn-control",-0.236664692144999,-0.441295020626363,0.330279412495785,"total-richness"
"thin-control",1.914919502444,0.106206402942724,1.39992029232035,"total-richness"
"burn-thin",-0.0470200968334736,-0.251403060962698,0.237429209244909,"total-richness"
